,state,county,cousub,county name,state initials,rent50_0_2018,rent50_0_2019,rent50_1_2018,rent50_1_2019,rent50_2_2018,rent50_2_2019,rent50_3_2018,rent50_3_2019,rent50_4_2018,rent50_4_2019,pop2010_2018,pop2010_2019,hu2010_2018,hu2010_2019
3945,48,237,99999,Jack County,TX,732,692.0,768,696.0,968,921.0,1214,1154.0,1318,1347.0,9044.0,9044.0,4095.0,4095.0
3946,48,239,99999,Jackson County,TX,667,667.0,710,684.0,883,888.0,1260,1241.0,1287,1245.0,14075.0,14075.0,6590.0,6590.0
3947,48,241,99999,Jasper County,TX,630,624.0,635,627.0,844,830.0,1058,1040.0,1150,1122.0,35710.0,35710.0,16798.0,16798.0
3948,48,243,99999,Jeff Davis County,TX,831,826.0,872,874.0,1099,1099.0,1378,1460.0,1523,1544.0,2342.0,2342.0,1613.0,1613.0
3949,48,245,99999,Jefferson County,TX,616,684.0,749,788.0,917,973.0,1179,1255.0,1295,1385.0,252273.0,252273.0,104424.0,104424.0
3950,48,247,99999,Jim Hogg County,TX,527,526.0,583,586.0,697,700.0,1014,1012.0,1090,1079.0,5300.0,5300.0,2441.0,2441.0
3951,48,249,99999,Jim Wells County,TX,678,673.0,683,677.0,908,896.0,1138,1123.0,1237,1211.0,40838.0,40838.0,16147.0,16147.0
3952,48,251,99999,Johnson County,TX,784,805.0,892,911.0,1122,1140.0,1545,1558.0,1971,1976.0,150934.0,150934.0,56719.0,56719.0
3953,48,253,99999,Jones County,TX,599,642.0,642,667.0,854,882.0,1080,1142.0,1405,1467.0,20202.0,20202.0,7422.0,7422.0
3954,48,255,99999,Karnes County,TX,555,539.0,595,624.0,792,825.0,1042,1034.0,1136,1271.0,14824.0,14824.0,5650.0,5650.0
3955,48,257,99999,Kaufman County,TX,789,905.0,948,1070.0,1163,1300.0,1563,1732.0,2004,2251.0,103350.0,103350.0,38322.0,38322.0
